term	gene
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	Gstm2
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	Gstt2
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	Gstt1
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	Ggt1
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	Gclm
GLUTATHIONE METABOLISM%WIKIPATHWAYS_20241210%WP469%RATTUS NORVEGICUS	Oplah
SEROTONIN AND ANXIETY%WIKIPATHWAYS_20241210%WP2132%RATTUS NORVEGICUS	Adra1a
SEROTONIN AND ANXIETY%WIKIPATHWAYS_20241210%WP2132%RATTUS NORVEGICUS	Prkcb
SEROTONIN AND ANXIETY%WIKIPATHWAYS_20241210%WP2132%RATTUS NORVEGICUS	Plek
SEROTONIN AND ANXIETY%WIKIPATHWAYS_20241210%WP2132%RATTUS NORVEGICUS	Htr2a
SEROTONIN AND ANXIETY%WIKIPATHWAYS_20241210%WP2132%RATTUS NORVEGICUS	Ppp3ca
SEROTONIN AND ANXIETY%WIKIPATHWAYS_20241210%WP2132%RATTUS NORVEGICUS	Crh
SEROTONIN AND ANXIETY%WIKIPATHWAYS_20241210%WP2132%RATTUS NORVEGICUS	Htr2c
SEROTONIN AND ANXIETY%WIKIPATHWAYS_20241210%WP2132%RATTUS NORVEGICUS	Fos
SEROTONIN AND ANXIETY%WIKIPATHWAYS_20241210%WP2132%RATTUS NORVEGICUS	Htr1a
SEROTONIN AND ANXIETY%WIKIPATHWAYS_20241210%WP2132%RATTUS NORVEGICUS	Grin2d
SEROTONIN AND ANXIETY%WIKIPATHWAYS_20241210%WP2132%RATTUS NORVEGICUS	Nlgn1
HOMOLOGOUS RECOMBINATION%WIKIPATHWAYS_20241210%WP1296%RATTUS NORVEGICUS	Pold3
HOMOLOGOUS RECOMBINATION%WIKIPATHWAYS_20241210%WP1296%RATTUS NORVEGICUS	Nbn
HOMOLOGOUS RECOMBINATION%WIKIPATHWAYS_20241210%WP1296%RATTUS NORVEGICUS	Pold2
HOMOLOGOUS RECOMBINATION%WIKIPATHWAYS_20241210%WP1296%RATTUS NORVEGICUS	Rad51
HOMOLOGOUS RECOMBINATION%WIKIPATHWAYS_20241210%WP1296%RATTUS NORVEGICUS	Pold1
HOMOLOGOUS RECOMBINATION%WIKIPATHWAYS_20241210%WP1296%RATTUS NORVEGICUS	Rad50
HOMOLOGOUS RECOMBINATION%WIKIPATHWAYS_20241210%WP1296%RATTUS NORVEGICUS	Brca2
HOMOLOGOUS RECOMBINATION%WIKIPATHWAYS_20241210%WP1296%RATTUS NORVEGICUS	Rad52
HOMOLOGOUS RECOMBINATION%WIKIPATHWAYS_20241210%WP1296%RATTUS NORVEGICUS	Pold4
FATTY ACID OMEGA OXIDATION%WIKIPATHWAYS_20241210%WP133%RATTUS NORVEGICUS	Adh4
FATTY ACID OMEGA OXIDATION%WIKIPATHWAYS_20241210%WP133%RATTUS NORVEGICUS	Aldh1a1
FATTY ACID OMEGA OXIDATION%WIKIPATHWAYS_20241210%WP133%RATTUS NORVEGICUS	Adh1
FATTY ACID OMEGA OXIDATION%WIKIPATHWAYS_20241210%WP133%RATTUS NORVEGICUS	Aldh2
FATTY ACID OMEGA OXIDATION%WIKIPATHWAYS_20241210%WP133%RATTUS NORVEGICUS	Cyp2e1
FATTY ACID OMEGA OXIDATION%WIKIPATHWAYS_20241210%WP133%RATTUS NORVEGICUS	Cyp1a1
FATTY ACID OMEGA OXIDATION%WIKIPATHWAYS_20241210%WP133%RATTUS NORVEGICUS	Cyp4a2
FATTY ACID OMEGA OXIDATION%WIKIPATHWAYS_20241210%WP133%RATTUS NORVEGICUS	Cyp3a2
FATTY ACID OMEGA OXIDATION%WIKIPATHWAYS_20241210%WP133%RATTUS NORVEGICUS	Adh7
FATTY ACID OMEGA OXIDATION%WIKIPATHWAYS_20241210%WP133%RATTUS NORVEGICUS	Adh6
FATTY ACID OMEGA OXIDATION%WIKIPATHWAYS_20241210%WP133%RATTUS NORVEGICUS	Adh5
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Shc1
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Mapk1
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Nfkbia
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Grb2
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Raf1
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Prkcb
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Mapk9
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Socs1
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Atf2
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Rap1gap
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Alox5
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Il2rb
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Pla2g4a
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Elk1
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Mapk3
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Crkl
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Itgam
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Csf2rb
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Pim1
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Akt1
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Rac1
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Jak2
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Foxo3
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Jak1
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Sox4
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Sdcbp
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Alox5ap
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Syk
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Hcls1
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Gsk3b
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Hck
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Gsk3a
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Rps6ka1
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Itgb2
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Prkcd
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Il5ra
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Btk
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Pik3r1
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Pik3r2
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Shc2
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Unc119
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Ptpn6
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Il5
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Ptpn11
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Pik3cg
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Lyn
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Jun
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Mapk14
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Ptk2b
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Sh2b2
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Stat5a
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Map2k2
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Stat5b
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Bax
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Stat3
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Cdkn1b
IL 5 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP44%RATTUS NORVEGICUS	Hras
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Mecr
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Echdc3
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Echdc1
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Echdc2
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Decr1
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Acly
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Acaa2
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Echs1
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Pc
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Acsl1
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Scd
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Fasn
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Acsl5
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Acsl6
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Acsl3
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Acacb
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Hadh
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Acaca
FATTY ACID BIOSYNTHESIS%WIKIPATHWAYS_20241210%WP504%RATTUS NORVEGICUS	Acss2
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Ikbkb
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Mapk1
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Map2k1
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Ilk
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Braf
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Mnat1
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Hdac3
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Grb2
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Hdac2
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Chuk
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Hdac5
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Taf13
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Sos1
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Hdac1
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Taf12
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Gtf2f2
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Tbp
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Ccnh
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Prkaca
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Gtf2b
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Gtf2e1
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Gtf2e2
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Polr2c
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Src
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Polr2b
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Taf9
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Polr2g
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Polr2h
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Polr2f
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Polr2i
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Polr2j
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Gtf2h2
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Gtf2h4
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Gtf2h3
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Gngt1
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Ercc2
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Ccnd1
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Ercc3
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Gper1
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Esr1
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Crebbp
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Brca1
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Fos
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Gnb1
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Taf7
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Taf6
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Taf5
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Mapk9
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Elk1
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Akt1
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Shc2
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Jun
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Mapk14
ESTROGEN SIGNALING%WIKIPATHWAYS_20241210%WP1279%RATTUS NORVEGICUS	Hras
VEGFR 3 SIGNALING%WIKIPATHWAYS_20241210%WP1964%RATTUS NORVEGICUS	Vegfd
VEGFR 3 SIGNALING%WIKIPATHWAYS_20241210%WP1964%RATTUS NORVEGICUS	Vegfc
VEGFR 3 SIGNALING%WIKIPATHWAYS_20241210%WP1964%RATTUS NORVEGICUS	Shc1
VEGFR 3 SIGNALING%WIKIPATHWAYS_20241210%WP1964%RATTUS NORVEGICUS	Mapk1
VEGFR 3 SIGNALING%WIKIPATHWAYS_20241210%WP1964%RATTUS NORVEGICUS	Pik3cg
VEGFR 3 SIGNALING%WIKIPATHWAYS_20241210%WP1964%RATTUS NORVEGICUS	Mapk3
VEGFR 3 SIGNALING%WIKIPATHWAYS_20241210%WP1964%RATTUS NORVEGICUS	Grb2
VEGFR 3 SIGNALING%WIKIPATHWAYS_20241210%WP1964%RATTUS NORVEGICUS	Casp9
VEGFR 3 SIGNALING%WIKIPATHWAYS_20241210%WP1964%RATTUS NORVEGICUS	Akt1
VEGFR 3 SIGNALING%WIKIPATHWAYS_20241210%WP1964%RATTUS NORVEGICUS	Bad
VEGFR 3 SIGNALING%WIKIPATHWAYS_20241210%WP1964%RATTUS NORVEGICUS	Nos3
VEGFR 3 SIGNALING%WIKIPATHWAYS_20241210%WP1964%RATTUS NORVEGICUS	Itpkc
VEGFR 3 SIGNALING%WIKIPATHWAYS_20241210%WP1964%RATTUS NORVEGICUS	Flt4
VEGFR 3 SIGNALING%WIKIPATHWAYS_20241210%WP1964%RATTUS NORVEGICUS	Plcg1
IL 9 SIGNALING PATHWAY%WIKIPATHWAYS_20241210%WP8%RATTUS NORVEGICUS	Vcp
